ISBN,Title,Edition
0093301025,Inwerpamar,8
0093342559957,Unwericator,4
0093342872743,Lomdudex,13
0093445912121,Winnipar,5
0093454726,Winniponor,7
0093464737,Varvenax,1
0093472380,Supwerpantor,9
0093559461249,Surzapepantor,10
0093607056752,Tupsipepower,14
0093668933512,Wintinefex,7
0093697671629,Addudepover,4
0093716508,Klisipegin,11
0093754056872,Tupquestazz,12
0093773610363,Barcadadar,14
0093788955,Monsapistor,5
0093847013068,Lommunaquan,2
0093889075802,Infropefax,3
0093895878,Upfropedower,3
0094100004984,Winfroponex,5
0094119634929,Truwerantor,11
0094180895,Winpickollantor,13
0094204848717,Emhupar,2
0094428742540,Gropebadan,4
0094510559,Rapnipefin,1
0094561231894,Monpebanan,3
0094714810742,Incadentor,11
0094738027811,Redudicover,9
0094761714,Tiperopantor,6
0094853317,Repebin,13
0094862578815,Lomerefor,13
0095031104,Parzapar,3
0095056137,Rezapamin,3
0095100303243,Vardimefin,12
0095106391,Endrobantor,10
0095107007638,Emsapantor,14
0095326509,Frodimilex,13
0095340595,Tuphupower,11
0095341202,Pardudin,12
0095417446,Parfropackower,6
0095476236354,Surtanan,12
0095598815939,Unweregar,7
0095661139,Thrutanazz,12
0095787435443,Qwipickollin,6
0095831126322,Truvenover,14
0095892485,Surtumupar,7
0096240588,Rappebicator,11
0096313267315,Fronipedgover,1
0096433218,Cipnipopistor,14
0096437264148,Qwidimopentor,9
0096490514,Truwerpover,13
0096534808211,Winpickazz,2

(1000 rows affected)

