Barcode     Status               ISBN
100927      FORBIDDEN            0050117714
100928      FORBIDDEN            0001560318
100929      LEND                 0151715667273
100930      DELETED              0008991247791
100931      FORBIDDEN            0104571710
100932      BROKEN               0005885327
100933      BROKEN               0053997274950
100934      DELETED              0154812941252
100935      LEND                 0128224679
100936      BROKEN               0184868558601
100937      LEND                 0170345699981
100938      BROKEN               0046450232801
100939      FORBIDDEN            0135212787
100940      LEND                 0184218139
100941      BROKEN               0117836032063
100942      AVAILABLE            0154816697
100943      FORBIDDEN            0173538636568
100944      LEND                 0109331120
100945      SOLD                 0022204470
100946      SOLD                 0141202556164
100947      AVAILABLE            0122493022
100948      LEND                 0150540395761
100949      SOLD                 0134687162192
100950      SOLD                 0087021304612
100951      AVAILABLE            0166237004397
100952      LEND                 0146291269559
100953      BROKEN               0167659971388
100954      DELETED              0136204459682
100955      FORBIDDEN            0166370510
100956      AVAILABLE            0141068840179
100957      FORBIDDEN            0005331079407
100958      DELETED              0012113504
100959      BROKEN               0163619254
100960      DELETED              0177482171644
100961      SOLD                 0022393697342
100962      BROKEN               0157383581370
100963      SOLD                 0001387557022
100964      BROKEN               0151517882972
100965      FORBIDDEN            0141428326489
100966      LEND                 0120823886
100967      LEND                 0007437973
100968      LEND                 0120309802
100969      LEND                 0173569162
100970      BROKEN               0030482952417
100971      LEND                 0052037545460
100972      DELETED              0187274624
100973      DELETED              0162558416059
100974      FORBIDDEN            0163730560687
100975      FORBIDDEN            0168284237
100976      SOLD                 0183067509
100977      DELETED              0005256204940
100978      LEND                 0173014722006
100979      FORBIDDEN            0084636719
100980      AVAILABLE            0006474979
100981      DELETED              0118138285
100982      SOLD                 0173455972163
100983      AVAILABLE            0014770020226
100984      DELETED              0090174265
100985      LEND                 0035129509
100986      BROKEN               0130345197
100987      FORBIDDEN            0012072653826
100988      LEND                 0156179818
100989      BROKEN               0177140986779
100990      AVAILABLE            0123312326570
100991      SOLD                 0156650991459
100992      SOLD                 0190789422
100993      FORBIDDEN            0106838294
100994      BROKEN               0130838512
100995      BROKEN               0076940306
100996      FORBIDDEN            0190197524692
100997      LEND                 0131505287223
100998      LEND                 0040615169522
100999      LEND                 0058229811

(1000 rows affected)

